,Smiles,Mol,score,h,Training,Success,enamine_searched,enamine_id
77,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af30baac0>,,21,False,False,False,
78,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](OC(F)(F)F)(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af28e3ba0>,,21,False,False,False,
79,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C([H])([H])OC([H])([H])[H])N1[H],<fegrow.package.RMol object at 0x151af3060bd0>,,21,False,False,False,
80,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(N([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])N1[H],<fegrow.package.RMol object at 0x151af28f05e0>,,21,False,False,False,
81,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](C([H])=O)(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af28f3ba0>,,21,False,False,False,
82,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(c2c([H])c([H])c([H])c([H])c2OC([H])([H])[H])N1[H],<fegrow.package.RMol object at 0x151af30babb0>,,21,False,False,False,
83,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](C(=O)N([H])c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af2918c20>,,21,False,False,False,
84,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af246c590>,,21,False,False,False,
85,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](c2nc([H])c([H])nc2[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af24ad8f0>,,21,False,False,False,
86,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(c2c([H])c([H])c3c([H])c([H])c([H])c([H])c3c2[H])N1[H],<fegrow.package.RMol object at 0x151af30ae1b0>,,21,False,False,False,
